Char   Codepoint     Frequency
处      U+05904          13266
載      U+08F09          13260
夏      U+0590F          13227
斜      U+0659C          13200
憐      U+06190          13176
祥      U+07965          13074
簡      U+07C21          13000
杯      U+0676F          12934
移      U+079FB          12930
程      U+07A0B          12902
奇      U+05947          12869
軒      U+08ED2          12847
归      U+05F52          12824
兵      U+05175          12823
壽      U+058FD          12789
桂      U+06842          12748
恩      U+06069          12731
弟      U+05F1F          12717
讀      U+08B80          12712
仁      U+04EC1          12680
寶      U+05BF6          12678
原      U+0539F          12657
冰      U+051B0          12652
嘉      U+05609          12597
命      U+0547D          12583
暗      U+06697          12577
始      U+059CB          12568
引      U+05F15          12551
舉      U+08209          12504
屋      U+05C4B          12482
軍      U+08ECD          12367
俗      U+04FD7          12295
音      U+097F3          12285
克      U+0514B          12278
住      U+04F4F          12269
理      U+07406          12233
乃      U+04E43          12231
儿      U+0513F          12228
參      U+053C3          12211
任      U+04EFB          12182
酬      U+0916C          12152
薄      U+08584          12073
船      U+08239          12049
憂      U+06182          12044
于      U+04E8E          12042
呈      U+05448          12042
底      U+05E95          11976
郭      U+090ED          11970
侯      U+04FAF          11964
凉      U+051C9          11921
乘      U+04E58          11899
雁      U+096C1          11811
齊      U+09F4A          11796
鳳      U+09CF3          11781
谷      U+08C37          11775
爾      U+0723E          11771
異      U+07570          11762
隱      U+096B1          11738
建      U+05EFA          11683
橫      U+06A6B          11677
隔      U+09694          11674
鼓      U+09F13          11671
岳      U+05CB3          11657
放      U+0653E          11656
悠      U+060A0          11632
范      U+08303          11599
汝      U+06C5D          11535
妙      U+05999          11503
殿      U+06BBF          11484
尊      U+05C0A          11446
眉      U+07709          11437
閒      U+09592          11435
惜      U+060DC          11421
谁      U+08C01          11399
唱      U+05531          11369
台      U+053F0          11360
霞      U+0971E          11353
素      U+07D20          11332
顧      U+09867          11327
号      U+053F7          11315
冠      U+051A0          11307
記      U+08A18          11279
浩      U+06D69          11268
荒      U+08352          11208
牛      U+0725B          11203
梁      U+06881          11169
堯      U+0582F          11160
聊      U+0804A          11156
失      U+05931          11152
甚      U+0751A          11125
你      U+04F60          11123
戲      U+06232          11084
亂      U+04E82          11049
敢      U+06562          11021
指      U+06307          10966
蘭      U+0862D          10954
願      U+09858          10937
由      U+07531          10911
梦      U+068A6          10910
兼      U+0517C          10901
持      U+06301          10884
進      U+09032          10850
折      U+06298          10845
虎      U+0864E          10842
翻      U+07FFB          10788
琴      U+07434          10770
息      U+0606F          10740
紛      U+07D1B          10732
斗      U+06597          10716
蓬      U+084EC          10694
赴      U+08D74          10689
消      U+06D88          10673
廣      U+05EE3          10672
精      U+07CBE          10672
兄      U+05144          10651
枕      U+06795          10627
几      U+051E0          10577
头      U+05934          10522
篇      U+07BC7          10514
菊      U+083CA          10501
呂      U+05442          10467
貴      U+08CB4          10454
黃      U+09EC3          10451
土      U+0571F          10424
答      U+07B54          10415
遇      U+09047          10387
義      U+07FA9          10369
爭      U+0722D          10345
肯      U+080AF          10321
骨      U+09AA8          10317
陶      U+09676          10293
橋      U+06A4B          10264
满      U+06EE1          10253
为      U+04E3A          10199
零      U+096F6          10196
岸      U+05CB8          10191
種      U+07A2E          10179
政      U+0653F          10167
声      U+058F0          10157
带      U+05E26          10156
結      U+07D50          10127
惠      U+060E0          10114
細      U+07D30          10099
造      U+09020          10070
丘      U+04E18          10068
禮      U+079AE          10051
遲      U+09072          10051
见      U+089C1          10051
代      U+04EE3          10046
室      U+05BA4          10020
徒      U+05F92          10007
衰      U+08870           9997
俱      U+04FF1           9993
昏      U+0660F           9968
御      U+05FA1           9962
緣      U+07DE3           9956
最      U+06700           9954
飞      U+098DE           9926
尺      U+05C3A           9918
湘      U+06E58           9899
乾      U+04E7E           9885
致      U+081F4           9881
機      U+06A5F           9879
封      U+05C01           9875
迎      U+08FCE           9851
眠      U+07720           9845
漫      U+06F2B           9830
訪      U+08A2A           9828
甘      U+07518           9817
东      U+04E1C           9813
郡      U+090E1           9791
短      U+077ED           9777
追      U+08FFD           9765
羽      U+07FBD           9755
示      U+0793A           9748
試      U+08A66           9743
与      U+04E0E           9734
宴      U+05BB4           9719
報      U+05831           9672
宣      U+05BA3           9655
玄      U+07384           9654
根      U+06839           9640
錦      U+09326           9630
楼      U+0697C           9620
極      U+06975           9618
斯      U+065AF           9617
管      U+07BA1           9564
徑      U+05F91           9562
隠      U+096A0           9560
福      U+0798F           9540
魂      U+09B42           9539
越      U+08D8A           9507
比      U+06BD4           9501
啼      U+0557C           9487
被      U+088AB           9459
源      U+06E90           9449
除      U+09664           9449
干      U+05E72           9438
藥      U+085E5           9414
走      U+08D70           9408
密      U+05BC6           9391
廬      U+05EEC           9341
為      U+070BA           9337
予      U+04E88           9336
印      U+05370           9324
蕃      U+08543           9314
善      U+05584           9304
丞      U+04E1E           9302
招      U+062DB           9296
恐      U+06050           9277
鄰      U+09130           9274
