Char   Codepoint     Frequency   Percentage
薄      U+08584           1263        0.04%
疑      U+07591           1261        0.04%
徐      U+05F90           1260        0.04%
爾      U+0723E           1260        0.04%
本      U+0672C           1259        0.04%
藥      U+085E5           1258        0.04%
闕      U+095D5           1258        0.04%
越      U+08D8A           1257        0.04%
異      U+07570           1255        0.04%
飲      U+098F2           1254        0.04%
商      U+05546           1253        0.04%
求      U+06C42           1246        0.04%
兼      U+0517C           1245        0.04%
便      U+04FBF           1243        0.04%
惜      U+060DC           1237        0.04%
拂      U+062C2           1236        0.04%
爭      U+0722D           1234        0.04%
騎      U+09A0E           1231        0.04%
臣      U+081E3           1227        0.04%
鐘      U+09418           1225        0.04%
賦      U+08CE6           1220        0.04%
詞      U+08A5E           1218        0.04%
口      U+053E3           1217        0.04%
忘      U+05FD8           1214        0.04%
錦      U+09326           1214        0.04%
翻      U+07FFB           1212        0.04%
勞      U+052DE           1210        0.04%
燈      U+071C8           1206        0.04%
頻      U+0983B           1204        0.04%
兮      U+0516E           1203        0.04%
端      U+07AEF           1202        0.04%
郡      U+090E1           1199        0.04%
著      U+08457           1193        0.04%
鄭      U+0912D           1192        0.04%
眼      U+0773C           1187        0.04%
啼      U+0557C           1186        0.04%
飄      U+098C4           1185        0.04%
守      U+05B88           1184        0.04%
念      U+05FF5           1182        0.04%
素      U+07D20           1182        0.04%
蒙      U+08499           1180        0.04%
第      U+07B2C           1179        0.04%
迎      U+08FCE           1178        0.04%
孫      U+05B6B           1172        0.04%
映      U+06620           1167        0.04%
侯      U+04FAF           1158        0.04%
猿      U+0733F           1157        0.04%
徑      U+05F91           1156        0.04%
力      U+0529B           1155        0.04%
榮      U+069AE           1144        0.04%
苔      U+082D4           1143        0.04%
音      U+097F3           1143        0.04%
任      U+04EFB           1142        0.04%
沉      U+06C89           1142        0.04%
鄰      U+09130           1140        0.04%
錢      U+09322           1140        0.04%
錫      U+0932B           1140        0.04%
遇      U+09047           1139        0.04%
參      U+053C3           1138        0.04%
史      U+053F2           1132        0.04%
字      U+05B57           1132        0.04%
韻      U+097FB           1132        0.04%
圖      U+05716           1129        0.04%
赴      U+08D74           1127        0.04%
良      U+0826F           1125        0.04%
教      U+06559           1123        0.04%
梁      U+06881           1120        0.04%
惟      U+060DF           1117        0.04%
極      U+06975           1110        0.04%
橋      U+06A4B           1109        0.04%
他      U+04ED6           1108        0.04%
凝      U+051DD           1107        0.04%
院      U+09662           1107        0.04%
船      U+08239           1105        0.04%
冷      U+051B7           1101        0.04%
戰      U+06230           1097        0.04%
閒      U+09592           1097        0.04%
軒      U+08ED2           1095        0.04%
由      U+07531           1091        0.04%
引      U+05F15           1088        0.04%
禮      U+079AE           1088        0.04%
弦      U+05F26           1084        0.04%
永      U+06C38           1084        0.04%
稀      U+07A00           1081        0.04%
衰      U+08870           1081        0.04%
報      U+05831           1079        0.04%
條      U+0689D           1079        0.04%
折      U+06298           1077        0.04%
蓮      U+084EE           1075        0.04%
悵      U+060B5           1069        0.04%
搖      U+06416           1064        0.04%
住      U+04F4F           1063        0.04%
載      U+08F09           1061        0.04%
幸      U+05E78           1059        0.04%
況      U+06CC1           1051        0.04%
罷      U+07F77           1048        0.04%
村      U+06751           1047        0.04%
目      U+076EE           1047        0.04%
暖      U+06696           1045        0.04%
貧      U+08CA7           1045        0.04%
制      U+05236           1043        0.04%
細      U+07D30           1043        0.04%
