Char   Codepoint     Frequency   Percentage
妇      U+05987             35        0.06%
摇      U+06447             35        0.06%
方      U+065B9             35        0.06%
留      U+07559             35        0.06%
艳      U+08273             35        0.06%
虞      U+0865E             35        0.06%
霞      U+0971E             35        0.06%
也      U+04E5F             34        0.06%
寻      U+05BFB             34        0.06%
巫      U+05DEB             34        0.06%
慵      U+06175             34        0.06%
梅      U+06885             34        0.06%
注      U+06CE8             34        0.06%
笙      U+07B19             34        0.06%
绝      U+07EDD             34        0.06%
衷      U+08877             34        0.06%
被      U+088AB             34        0.06%
连      U+08FDE             34        0.06%
使      U+04F7F             33        0.06%
峤      U+05CE4             33        0.06%
昭      U+0662D             33        0.06%
滴      U+06EF4             33        0.06%
狂      U+072C2             33        0.06%
箫      U+07BAB             33        0.06%
背      U+080CC             33        0.06%
袅      U+08885             33        0.06%
言      U+08A00             33        0.06%
锁      U+09501             33        0.06%
闻      U+095FB             33        0.06%
世      U+04E16             32        0.05%
只      U+053EA             32        0.05%
向      U+05411             32        0.05%
园      U+056ED             32        0.05%
定      U+05B9A             32        0.05%
市      U+05E02             32        0.05%
常      U+05E38             32        0.05%
征      U+05F81             32        0.05%
熙      U+07199             32        0.05%
蝶      U+08776             32        0.05%
记      U+08BB0             32        0.05%
迟      U+08FDF             32        0.05%
通      U+0901A             32        0.05%
震      U+09707             32        0.05%
六      U+0516D             31        0.05%
分      U+05206             31        0.05%
却      U+05374             31        0.05%
塘      U+05858             31        0.05%
太      U+0592A             31        0.05%
宝      U+05B9D             31        0.05%
寞      U+05BDE             31        0.05%
怨      U+06028             31        0.05%
早      U+065E9             31        0.05%
然      U+07136             31        0.05%
疏      U+0758F             31        0.05%
腰      U+08170             31        0.05%
迷      U+08FF7             31        0.05%
雕      U+096D5             31        0.05%
鱼      U+09C7C             31        0.05%
伤      U+04F24             30        0.05%
堤      U+05824             30        0.05%
星      U+0661F             30        0.05%
槛      U+069DB             30        0.05%
泥      U+06CE5             30        0.05%
百      U+0767E             30        0.05%
立      U+07ACB             30        0.05%
能      U+080FD             30        0.05%
腻      U+0817B             30        0.05%
苑      U+082D1             30        0.05%
采      U+091C7             30        0.05%
锡      U+09521             30        0.05%
阑      U+09611             30        0.05%
隐      U+09690             30        0.05%
雾      U+096FE             30        0.05%
麝      U+09E9D             30        0.05%
井      U+04E95             29        0.05%
口      U+053E3             29        0.05%
娥      U+05A25             29        0.05%
孤      U+05B64             29        0.05%
引      U+05F15             29        0.05%
晨      U+06668             29        0.05%
极      U+06781             29        0.05%
棹      U+068F9             29        0.05%
渔      U+06E14             29        0.05%
熏      U+0718F             29        0.05%
休      U+04F11             28        0.05%
偏      U+0504F             28        0.05%
八      U+0516B             28        0.05%
公      U+0516C             28        0.05%
彩      U+05F69             28        0.05%
慢      U+06162             28        0.05%
浪      U+06D6A             28        0.05%
湖      U+06E56             28        0.05%
爱      U+07231             28        0.05%
琼      U+0743C             28        0.05%
瑶      U+07476             28        0.05%
番      U+0756A             28        0.05%
秦      U+079E6             28        0.05%
笛      U+07B1B             28        0.05%
织      U+07EC7             28        0.05%
羞      U+07F9E             28        0.05%
萋      U+0840B             28        0.05%
诉      U+08BC9             28        0.05%
转      U+08F6C             28        0.05%
霜      U+0971C             28        0.05%
频      U+09891             28        0.05%
会      U+04F1A             27        0.05%
佳      U+04F73             27        0.05%
坠      U+05760             27        0.05%
惹      U+060F9             27        0.05%
户      U+06237             27        0.05%
梁      U+06881             27        0.05%
气      U+06C14             27        0.05%
泌      U+06CCC             27        0.05%
