Char   Codepoint     Frequency   Percentage
兰      U+05170              8        0.04%
兼      U+0517C              8        0.04%
冰      U+051B0              8        0.04%
创      U+0521B              8        0.04%
剑      U+05251              8        0.04%
力      U+0529B              8        0.04%
升      U+05347              8        0.04%
坪      U+0576A              8        0.04%
岁      U+05C81              8        0.04%
市      U+05E02              8        0.04%
师      U+05E08              8        0.04%
林      U+06797              8        0.04%
棠      U+068E0              8        0.04%
樵      U+06A35              8        0.04%
毋      U+06BCB              8        0.04%
治      U+06CBB              8        0.04%
浅      U+06D45              8        0.04%
玉      U+07389              8        0.04%
玩      U+073A9              8        0.04%
琴      U+07434              8        0.04%
痴      U+075F4              8        0.04%
置      U+07F6E              8        0.04%
苟      U+082DF              8        0.04%
菊      U+083CA              8        0.04%
要      U+08981              8        0.04%
觉      U+089C9              8        0.04%
记      U+08BB0              8        0.04%
话      U+08BDD              8        0.04%
贱      U+08D31              8        0.04%
起      U+08D77              8        0.04%
轮      U+08F6E              8        0.04%
鄙      U+09119              8        0.04%
门      U+095E8              8        0.04%
食      U+098DF              8        0.04%
骂      U+09A82              8        0.04%
业      U+04E1A              7        0.03%
个      U+04E2A              7        0.03%
位      U+04F4D              7        0.03%
关      U+05173              7        0.03%
写      U+05199              7        0.03%
利      U+05229              7        0.03%
刻      U+0523B              7        0.03%
动      U+052A8              7        0.03%
半      U+0534A              7        0.03%
取      U+053D6              7        0.03%
向      U+05411              7        0.03%
女      U+05973              7        0.03%
孔      U+05B54              7        0.03%
宁      U+05B81              7        0.03%
布      U+05E03              7        0.03%
常      U+05E38              7        0.03%
形      U+05F62              7        0.03%
待      U+05F85              7        0.03%
忙      U+05FD9              7        0.03%
朋      U+0670B              7        0.03%
本      U+0672C              7        0.03%
村      U+06751              7        0.03%
桐      U+06850              7        0.03%
梧      U+068A7              7        0.03%
棋      U+068CB              7        0.03%
注      U+06CE8              7        0.03%
洲      U+06D32              7        0.03%
济      U+06D4E              7        0.03%
灯      U+0706F              7        0.03%
由      U+07531              7        0.03%
痛      U+075DB              7        0.03%
立      U+07ACB              7        0.03%
端      U+07AEF              7        0.03%
翁      U+07FC1              7        0.03%
耐      U+08010              7        0.03%
肯      U+080AF              7        0.03%
茶      U+08336              7        0.03%
藻      U+085FB              7        0.03%
虚      U+0865A              7        0.03%
蚊      U+0868A              7        0.03%
蝴      U+08774              7        0.03%
衣      U+08863              7        0.03%
谷      U+08C37              7        0.03%
进      U+08FDB              7        0.03%
迟      U+08FDF              7        0.03%
里      U+091CC              7        0.03%
重      U+091CD              7        0.03%
钱      U+094B1              7        0.03%
题      U+09898              7        0.03%
骄      U+09A84              7        0.03%
骨      U+09AA8              7        0.03%
了      U+04E86              6        0.03%
倩      U+05029              6        0.03%
儒      U+05112              6        0.03%
具      U+05177              6        0.03%
况      U+051B5              6        0.03%
功      U+0529F              6        0.03%
卫      U+0536B              6        0.03%
历      U+05386              6        0.03%
双      U+053CC              6        0.03%
变      U+053D8              6        0.03%
台      U+053F0              6        0.03%
味      U+05473              6        0.03%
品      U+054C1              6        0.03%
回      U+056DE              6        0.03%
坐      U+05750              6        0.03%
姑      U+059D1              6        0.03%
嫁      U+05AC1              6        0.03%
宋      U+05B8B              6        0.03%
宗      U+05B97              6        0.03%
寒      U+05BD2              6        0.03%
庄      U+05E84              6        0.03%
开      U+05F00              6        0.03%
